country_code,country,year,slum_pct,urban_pop,slum_population,start_year,end_year,slum_change_total,urban_growth_total,slum_population_change_total
AFG,Afghanistan,2006,63.6,5112900.0,3251804.4,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2008,63.6,5594228.0,3557929.008,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2010,64.80761,6296457.0,4080583.2963776994,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2012,67.24795,7133763.0,4797309.3753585005,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2014,69.68829,7932845.0,5528264.0288505,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2016,72.12863,8556767.0,6171878.8093921,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2018,73.3,9185453.0,6732937.049,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2020,73.3,9869688.0,7234481.304,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
AFG,Afghanistan,2022,71.58904,10304561.0,7376936.296114399,2006,2022,7.989039999999996,101.54043693402961,4125131.896114399
ALB,Albania,2000,28.1,1285455.0,361212.85500000004,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2002,25.5,1316573.0,335726.115,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2004,23.0,1361472.0,313138.56,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2006,20.5,1408595.0,288761.975,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2008,17.9,1455533.0,260540.40699999998,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2010,15.4,1511321.0,232743.434,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
ALB,Albania,2012,12.9,1540885.0,198774.165,2000,2022,-25.400000000000002,10.35960029717104,-322910.03400000004
